ILLIQ,PE,PB,PS,CirculatedMarketValue,ChangeRatio,Liquidility
0.004824,17.211969,4.141349,1.638741,40329215721.9,0.01789,6.2e-05
0.001628,17.297292,4.161879,1.646864,40529135223,0.00496,5.5e-05
0.004073,17.638584,4.243996,1.679359,41328813227.4,0.01973,5.3e-05
0.00698,18.59265,4.473553,1.770195,43564276739.7,0.05409,5.5e-05
0.002341,18.437517,4.436227,1.755424,43200786737.7,-0.00834,5.1e-05
0.002463,18.305655,4.404499,1.74287,42891820236,-0.00715,4.9e-05
0.00352,18.111739,4.357842,1.724407,42437457733.5,-0.01059,4.7e-05
0.003431,17.979876,4.326114,1.711853,42128491231.8,-0.00728,4.6e-05
0.009232,17.506721,4.212269,1.666804,41019846725.7,-0.02632,5e-05
0.000577,17.529991,4.217868,1.669019,41074370226,0.00133,4.7e-05
0.008144,17.956606,4.320515,1.709637,42073967731.5,0.02434,4.9e-05
0.009221,17.669611,4.251462,1.682313,41401511227.8,-0.01598,5.2e-05
0.005132,17.452425,4.199205,1.661634,40892625225,-0.01229,5.2e-05
0.012992,17.925579,4.31305,1.706683,42001269731.1,0.02711,5.6e-05
0.003474,17.685124,4.255194,1.68379,41437860228,-0.01341,5.5e-05
0.008339,18.693486,4.497815,1.779795,43800545241,0.05702,5.6e-05
0.001589,19.042535,4.581799,1.813028,44618397745.5,0.01867,5.4e-05
0.001826,18.895159,4.546339,1.798996,44273082243.6,-0.00774,1.8e-05
0.004562,18.61592,4.479152,1.77241,43618800240,-0.01478,3.2e-05
0.000317,18.631433,4.482885,1.773887,43655149240.2,0.00083,2.2e-05
0.002439,18.52284,4.456756,1.763548,43400706238.8,-0.00583,2.3e-05
0.00078,18.491814,4.449291,1.760594,43328008238.4,-0.00168,2e-05
0.003526,18.654703,4.488483,1.776103,43709672740.5,0.00881,2.2e-05
0.00161,18.56938,4.467954,1.767979,43509753239.4,-0.00457,2.2e-05
0.004215,18.328924,4.410098,1.745085,42946343736.3,-0.01295,2.4e-05
0.003667,18.646946,4.486617,1.775364,43691498240.4,0.01735,2.5e-05
0.002123,18.763296,4.514612,1.786442,43964115741.9,0.00624,2.5e-05
0.001132,18.864132,4.538874,1.796042,44200384243.2,0.00537,2.4e-05
0.004912,19.314017,4.64712,1.838875,45254505249,0.02385,2.6e-05
0.000305,19.3528,4.656452,1.842568,45345377749.5,0.00201,2.4e-05
0.002049,19.228694,4.626591,1.830752,45054585747.9,-0.00641,2.4e-05
0.001979,19.135614,4.604195,1.82189,44836491746.7,-0.00484,2.4e-05
0.00377,19.321773,4.648986,1.839614,45272679749.1,0.00973,2.5e-05
0.00329,19.213181,4.622858,1.829275,45018236747.7,-0.00562,2.5e-05
0.004878,19.003751,4.572468,1.809335,44527525245,-0.0109,2.6e-05
0.001677,19.050291,4.583665,1.813766,44636572245.6,0.00245,2.6e-05
0.001895,18.995995,4.570601,1.808597,44509350744.9,-0.00285,2.5e-05
0.006733,18.670216,4.492216,1.77758,43746021740.7,-0.01715,2.7e-05
0.002491,18.724513,4.50528,1.782749,43873243241.4,0.00291,2.7e-05
0.001442,18.68573,4.495949,1.779057,43782370740.9,-0.00207,2.7e-05
0.0038,18.763296,4.514612,1.786442,43964115741.9,0.00415,3.8e-05
0.007923,18.491814,4.449291,1.760594,43328008238.4,-0.01447,5.9e-05
0.001424,18.52284,4.456756,1.763548,43400706238.8,0.00168,4.4e-05
0.003135,18.61592,4.479152,1.77241,43618800240,0.00503,4.1e-05
0.006487,18.383221,4.423162,1.750255,43073565237,-0.0125,4.6e-05
0.000731,18.398734,4.426895,1.751732,43109914237.2,0.00084,3.9e-05
0.003076,18.321168,4.408232,1.744347,42928169236.2,-0.00422,3.8e-05
0.007174,18.003146,4.331713,1.714068,42183014732.1,-0.01736,4.2e-05
0.002552,17.956606,4.320515,1.709637,42073967731.5,-0.00259,4e-05
0.007051,18.166035,4.370906,1.729577,42564679234.2,0.01166,4.3e-05
0.008471,18.437517,4.436227,1.755424,43200786737.7,0.01494,4.7e-05
0.006258,18.755539,4.512746,1.785703,43945941241.8,0.01725,4.8e-05
0.004589,18.584893,4.471687,1.769456,43546102239.6,-0.0091,4.8e-05
0.005003,18.771053,4.516478,1.78718,43982290242,0.01002,4.8e-05
0.000315,18.786566,4.520211,1.788657,44018639242.2,0.00083,4.5e-05
0.005906,17.840257,4.292521,1.69856,41801350230,-0.05037,5.7e-05
0.001449,17.871283,4.299986,1.701514,41874048230.4,0.00174,5.4e-05
